# day,temp_smooth,anomaly
1.000,0.040,0.000
2.000,-0.260,0.000
3.000,-0.433,0.000
4.000,-0.853,0.000
7.000,-0.253,0.000
8.000,-0.033,0.000
9.000,0.033,0.000
10.000,0.113,0.000
11.000,-0.107,0.000
12.000,-0.187,0.000
13.000,0.073,0.000
14.000,0.053,0.000
15.000,-0.187,0.000
16.000,-0.280,0.000
17.000,-0.233,0.000
18.000,0.073,0.000
19.000,0.107,0.000
20.000,-0.040,0.000
21.000,-0.120,0.000
22.000,0.067,0.000
23.000,0.007,0.000
24.000,-0.147,0.000
25.000,-0.253,0.000
26.000,0.127,0.000
27.000,0.107,0.000
28.000,0.053,0.000
29.000,0.040,0.000
30.000,0.067,0.000
31.000,0.013,0.000
32.000,-0.040,3.400
33.000,-0.053,2.613
34.000,-0.013,1.703
35.000,0.027,1.313
36.000,-0.167,1.493
37.000,-0.487,1.487
38.000,-0.807,-1.923
39.000,-0.587,-6.607
40.000,-0.673,-11.020
41.000,-0.553,-7.410
42.000,-0.360,-8.317
43.000,-0.180,-6.293
44.000,0.100,-3.307
45.000,0.293,-0.480
46.000,0.000,3.697
47.000,0.033,6.357
48.000,0.100,1.817
49.000,0.127,2.183
50.000,0.147,3.170
51.000,0.027,3.560
52.000,-0.167,3.767
53.000,-0.307,1.893
54.000,-0.047,-0.890
55.000,-0.353,-2.833
56.000,-0.373,1.017
57.000,-0.133,-3.533
58.000,-0.153,-3.583
59.000,0.140,0.137
60.000,0.100,-0.060
61.000,0.100,4.290
62.000,0.060,3.673
63.000,-0.120,3.630
64.000,-0.280,2.980
65.000,-0.280,0.313
66.000,-0.193,-1.953
67.000,0.013,-1.800
68.000,0.080,-0.487
69.000,0.093,2.363
70.000,0.147,2.920
71.000,-0.060,2.780
72.000,0.040,3.170
73.000,0.040,-0.177
74.000,0.253,1.123
76.000,0.133,1.013
77.000,0.107,4.137
78.000,0.040,2.417
79.000,0.013,1.963
80.000,0.107,0.960
81.000,0.153,0.603
82.000,0.167,2.013
83.000,0.033,2.710
84.000,0.127,2.840
85.000,0.320,0.740
86.000,0.440,1.923
87.000,0.160,4.640
88.000,0.027,6.043
89.000,-0.027,1.577
90.000,0.013,-0.503
91.000,0.100,-1.367
92.000,0.287,-0.703
93.000,0.200,0.597
94.000,0.253,3.303
95.000,0.220,1.933
96.000,0.313,2.547
97.000,0.273,1.797
98.000,0.220,2.900
99.000,0.247,2.067
100.000,0.400,1.163
101.000,0.287,1.480
102.000,0.120,3.627
103.000,0.080,1.857
